Player,Club,Market Value
Fabiano,Moreirense FC,3000000
Dinis Pinto,Moreirense FC,500000
Ismael,Moreirense FC,700000
Lawrence Ofori,Moreirense FC,2000000
Alan,Moreirense FC,3000000
Madson,Moreirense FC,1500000
Jeremy Antonisse,Moreirense FC,500000
Hernâni,Moreirense FC,400000
Luís Asué,Moreirense FC,1500000
Andrew,Gil Vicente FC,3000000
Brian Araújo,Gil Vicente FC,200000
Jonathan Buatu,Gil Vicente FC,600000
Rúben Fernandes,Gil Vicente FC,100000
Kazu,Gil Vicente FC,500000
Jesús Castillo,Gil Vicente FC,700000
Kanya Fujimoto,Gil Vicente FC,4000000
Pedro Álvaro,Estoril Praia,1500000
Volnei,Estoril Praia,650000
Eliaquim Mangala,Estoril Praia,400000
Wagner Pina,Estoril Praia,2000000
Michel Costa,Estoril Praia,600000
Alejandro Marqués,Estoril Praia,1000000
Daniel Azevedo,Casa Pia AC,100000
Ricardo Batista,Casa Pia AC,100000
Nermin Zolotić,Casa Pia AC,700000
Tchamba,Casa Pia AC,500000
Leonardo Lelo,Casa Pia AC,3500000
Tiago Dias,Casa Pia AC,325000
Fahem Benaissa-Yahia,Casa Pia AC,300000
Gaizka Larrazabal,Casa Pia AC,1000000
André Geraldes,Casa Pia AC,200000
Rafael Brito,Casa Pia AC,300000
Pablo Roberto,Casa Pia AC,1000000
Telasco Segovia,Casa Pia AC,700000
Beni,Casa Pia AC,700000
Nuno Moreira,Casa Pia AC,1000000
Kiki,Casa Pia AC,300000
Samu,Casa Pia AC,100000
Ricardo Velho,SC Farense,5000000
Miguel Carvalho,SC Farense,200000
Artur Jorge,SC Farense,400000
Talys,SC Farense,600000
Claudio Falcão,SC Farense,1000000
Seruca,SC Farense,100000
Rafael Barbosa,SC Farense,600000
Jhon Velásquez,SC Farense,300000
Marco Matias,SC Farense,100000
Elves Baldé,SC Farense,500000
Lucas Moura,Avs Futebol,100000
Simão,Avs Futebol,100000
Trigueira,Avs Futebol,75000
Jorge Teixeira,Avs Futebol,50000
Zé Ricardo,Avs Futebol,250000
Eric Veiga,Avs Futebol,200000
Léo Alaba,Avs Futebol,600000
Fernando Fonseca,Avs Futebol,300000
Gustavo Mendonça,Avs Futebol,250000
Jonatan Lucca,Avs Futebol,250000
Luís Silva,Avs Futebol,150000
John Mercado,Avs Futebol,1500000
Vasco Lopes,Avs Futebol,450000
Yair Mena,Avs Futebol,75000
Nenê,Avs Futebol,50000
Bruno Brígido,CF Estrela Amadora,300000
Nilton,CF Estrela Amadora,600000
Rúben Lima,CF Estrela Amadora,100000
Miguel Lopes,CF Estrela Amadora,50000
Leonel Bucca,CF Estrela Amadora,500000
Manuel Keliano,CF Estrela Amadora,400000
Léo Cordeiro,CF Estrela Amadora,800000
Kikas,CF Estrela Amadora,800000
Rodrigo Pinho,CF Estrela Amadora,400000
Lucas França,CD Nacional,600000
Rui Encarnação,CD Nacional,150000
Chico Gonçalves,CD Nacional,300000
Lucas Oliveira,CD Nacional,50000
José Gomes,CD Nacional,350000
João Aurélio,CD Nacional,75000
André Sousa,CD Nacional,75000
Luís Esteves,CD Nacional,700000
Jota,CD Nacional,75000
Rúben Macedo,CD Nacional,250000
Dudu Teodora,CD Nacional,350000
João Gonçalves,Boavista FC,700000
Luís Pires,Boavista FC,100000
Rodrigo Abascal,Boavista FC,800000
Bruno Onyemaechi,Boavista FC,3000000
Filipe Ferreira,Boavista FC,200000
Augusto Dabó,Boavista FC,100000
Gonçalo Miguel,Boavista FC,50000
Seba Pérez,Boavista FC,2000000
Ibrahima,Boavista FC,350000
Miguel Reisinho,Boavista FC,800000
Ilija Vukotić,Boavista FC,400000
Joel Silva,Boavista FC,300000
Salvador Agra,Boavista FC,300000
Robert Bozenik,Boavista FC,5000000
Tiago Machado,Boavista FC,100000
Gabriel Batista,CD Santa Clara,800000
Denivys,CD Santa Clara,100000
Pedro Pacheco,CD Santa Clara,900000
Sidney Lima,CD Santa Clara,700000
Luís Rocha,CD Santa Clara,50000
Lucas Soares,CD Santa Clara,800000
Calila,CD Santa Clara,300000
Adriano Firmino,CD Santa Clara,750000
Pedro Ferreira,CD Santa Clara,450000
Dani Borges,CD Santa Clara,50000
Serginho,CD Santa Clara,600000
Ricardinho,CD Santa Clara,1000000
Gabriel Silva,CD Santa Clara,1700000
Bruno Almeida,CD Santa Clara,1200000
Alisson Safira,CD Santa Clara,500000
