Player,Club,Market Value,TmPictureLink
Luka Jović,AC Milan,5000000,https://img.a.transfermarkt.technology/portrait/medium/257462-1657519856.jpg?lm=1
Marco Carnesecchi,Atalanta BC,16000000,https://img.a.transfermarkt.technology/portrait/medium/459763-1695027944.jpg?lm=1
Rui Patrício,Atalanta BC,1000000,https://img.a.transfermarkt.technology/portrait/medium/45026-1716296132.jpg?lm=1
Francesco Rossi,Atalanta BC,100000,https://img.a.transfermarkt.technology/portrait/medium/126634-1644234341.jpg?lm=1
Giorgio Scalvini,Atalanta BC,45000000,https://img.a.transfermarkt.technology/portrait/medium/571604-1701860841.jpg?lm=1
Odilon Kossounou,Atalanta BC,30000000,https://img.a.transfermarkt.technology/portrait/medium/644771-1730183693.jpg?lm=1
Isak Hien,Atalanta BC,20000000,https://img.a.transfermarkt.technology/portrait/medium/503075-1725531359.jpg?lm=1
Ben Godfrey,Atalanta BC,10000000,https://img.a.transfermarkt.technology/portrait/medium/343475-1700739275.jpg?lm=1
Berat Djimsiti,Atalanta BC,10000000,https://img.a.transfermarkt.technology/portrait/medium/165513-1718627443.jpg?lm=1
Sead Kolasinac,Atalanta BC,10000000,https://img.a.transfermarkt.technology/portrait/medium/94005-1666815100.jpg?lm=1
Rafael Tolói,Atalanta BC,2500000,https://img.a.transfermarkt.technology/portrait/medium/72441-1663583172.jpg?lm=1
Brandon Soppy,Atalanta BC,2000000,https://img.a.transfermarkt.technology/portrait/medium/546880-1629979523.jpg?lm=1
Marten de Roon,Atalanta BC,7000000,https://img.a.transfermarkt.technology/portrait/medium/133179-1663582942.jpg?lm=1
Ibrahim Sulemana,Atalanta BC,6000000,https://img.a.transfermarkt.technology/portrait/medium/982267-1695033715.jpg?lm=1
Éderson,Atalanta BC,40000000,https://img.a.transfermarkt.technology/portrait/medium/607854-1646648856.jpg?lm=1
Lazar Samardžić,Atalanta BC,20000000,https://img.a.transfermarkt.technology/portrait/medium/528833-1677073457.jpg?lm=1
Mario Pasalic,Atalanta BC,13000000,https://img.a.transfermarkt.technology/portrait/medium/205938-1716240830.jpg?lm=1
Marco Brescianini,Atalanta BC,8000000,https://img.a.transfermarkt.technology/portrait/medium/459128-1730183739.jpg?lm=1
Raoul Bellanova,Atalanta BC,20000000,https://img.a.transfermarkt.technology/portrait/medium/357992-1695028689.jpg?lm=1
Davide Zappacosta,Atalanta BC,6000000,https://img.a.transfermarkt.technology/portrait/medium/173859-1661268432.jpg?lm=1
Marco Palestra,Atalanta BC,3000000,https://img.a.transfermarkt.technology/portrait/medium/895937-1704902310.jpg?lm=1
Juan Cuadrado,Atalanta BC,1000000,https://img.a.transfermarkt.technology/portrait/medium/91970-1663576912.jpg?lm=1
Matteo Ruggeri,Atalanta BC,20000000,https://img.a.transfermarkt.technology/portrait/medium/616631-1695028258.jpg?lm=1
Charles De Ketelaere,Atalanta BC,34000000,https://img.a.transfermarkt.technology/portrait/medium/435772-1659601388.jpg?lm=1
Nicolò Zaniolo,Atalanta BC,20000000,https://img.a.transfermarkt.technology/portrait/medium/392085-1713472570.jpg?lm=1
Ademola Lookman,Atalanta BC,40000000,https://img.a.transfermarkt.technology/portrait/medium/406040-1682076571.jpg?lm=1
Gianluca Scamacca,Atalanta BC,35000000,https://img.a.transfermarkt.technology/portrait/medium/315867-1659354755.jpg?lm=1
Mateo Retegui,Atalanta BC,28000000,https://img.a.transfermarkt.technology/portrait/medium/554903-1681311414.jpg?lm=1
Alex Meret,SSC Napoli,12000000,https://img.a.transfermarkt.technology/portrait/medium/240414-1695025886.jpg?lm=1
Elia Caprile,SSC Napoli,6000000,https://img.a.transfermarkt.technology/portrait/medium/421873-1704902651.jpg?lm=1
Nikita Contini,SSC Napoli,400000,https://img.a.transfermarkt.technology/portrait/medium/250683-1663679972.jpg?lm=1
Claudio Turi,SSC Napoli,125000,https://img.a.transfermarkt.technology/portrait/medium/724099-1730706908.jpg?lm=1
Alessandro Buongiorno,SSC Napoli,35000000,https://img.a.transfermarkt.technology/portrait/medium/386446-1663596475.jpg?lm=1
Amir Rrahmani,SSC Napoli,15000000,https://img.a.transfermarkt.technology/portrait/medium/257732-1663579350.jpg?lm=1
Rafa Marín,SSC Napoli,9000000,https://img.a.transfermarkt.technology/portrait/medium/662261-1725529332.jpg?lm=1
Juan Jesus,SSC Napoli,2500000,https://img.a.transfermarkt.technology/portrait/medium/121985-1630496408.jpg?lm=1
Mathías Olivera,SSC Napoli,15000000,https://img.a.transfermarkt.technology/portrait/medium/376514-1681910576.jpg?lm=1
Leonardo Spinazzola,SSC Napoli,4000000,https://img.a.transfermarkt.technology/portrait/medium/118689-1663580982.jpg?lm=1
Mário Rui,SSC Napoli,1500000,https://img.a.transfermarkt.technology/portrait/medium/87884-1661351255.jpg?lm=1
Giovanni Di Lorenzo,SSC Napoli,15000000,https://img.a.transfermarkt.technology/portrait/medium/169880-1730126691.jpg?lm=1
Pasquale Mazzocchi,SSC Napoli,3000000,https://img.a.transfermarkt.technology/portrait/medium/250153-1725529479.jpg?lm=1
Stanislav Lobotka,SSC Napoli,28000000,https://img.a.transfermarkt.technology/portrait/medium/192735-1661509021.jpg?lm=1
Billy Gilmour,SSC Napoli,18000000,https://img.a.transfermarkt.technology/portrait/medium/423744-1701544195.jpg?lm=1
Scott McTominay,SSC Napoli,32000000,https://img.a.transfermarkt.technology/portrait/medium/315969-1718626681.jpg?lm=1
Frank Anguissa,SSC Napoli,27000000,https://img.a.transfermarkt.technology/portrait/medium/354361-1695026237.jpg?lm=1
Michael Folorunsho,SSC Napoli,8500000,https://img.a.transfermarkt.technology/portrait/medium/377042-1722173196.jpg?lm=1
Khvicha Kvaratskhelia,SSC Napoli,80000000,https://img.a.transfermarkt.technology/portrait/medium/502670-1708553120.jpg?lm=1
Alessio Zerbin,SSC Napoli,4000000,https://img.a.transfermarkt.technology/portrait/medium/433584-1641998849.jpg?lm=1
David Neres,SSC Napoli,28000000,https://img.a.transfermarkt.technology/portrait/medium/469822-1701334470.jpg?lm=1
Matteo Politano,SSC Napoli,13000000,https://img.a.transfermarkt.technology/portrait/medium/165895-1692963030.jpg?lm=1
Cyril Ngonge,SSC Napoli,12000000,https://img.a.transfermarkt.technology/portrait/medium/358032-1674197416.jpg?lm=1
Giacomo Raspadori,SSC Napoli,20000000,https://img.a.transfermarkt.technology/portrait/medium/405885-1708552564.jpg?lm=1
Romelu Lukaku,SSC Napoli,30000000,https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1
Giovanni Simeone,SSC Napoli,10000000,https://img.a.transfermarkt.technology/portrait/medium/282388-1690294694.jpg?lm=1
Mile Svilar,AS Roma,14000000,https://img.a.transfermarkt.technology/portrait/medium/338670-1725532174.jpg?lm=1
Mathew Ryan,AS Roma,3500000,https://img.a.transfermarkt.technology/portrait/medium/128969-1699801002.jpg?lm=1
Renato Marin,AS Roma,500000,https://img.a.transfermarkt.technology/portrait/medium/1041614-1730123074.jpg?lm=1
Evan Ndicka,AS Roma,25000000,https://img.a.transfermarkt.technology/portrait/medium/371149-1663064716.jpg?lm=1
Gianluca Mancini,AS Roma,25000000,https://img.a.transfermarkt.technology/portrait/medium/256448-1663581060.jpg?lm=1
Mario Hermoso,AS Roma,18000000,https://img.a.transfermarkt.technology/portrait/medium/281769-1666818938.jpg?lm=1
Mats Hummels,AS Roma,5000000,https://img.a.transfermarkt.technology/portrait/medium/39728-1709560545.jpg?lm=1
Angeliño,AS Roma,8000000,https://img.a.transfermarkt.technology/portrait/medium/277179-1706626191.jpg?lm=1
Samuel Dahl,AS Roma,4000000,https://img.a.transfermarkt.technology/portrait/medium/605396-1730183539.jpg?lm=1
Zeki Çelik,AS Roma,6000000,https://img.a.transfermarkt.technology/portrait/medium/251075-1725530746.jpg?lm=1
Saud Abdulhamid,AS Roma,4000000,https://img.a.transfermarkt.technology/portrait/medium/631927-1730124451.jpg?lm=1
Buba Sangaré,AS Roma,1000000,https://img.a.transfermarkt.technology/portrait/medium/962125-1724229043.jpg?lm=1
Bryan Cristante,AS Roma,20000000,https://img.a.transfermarkt.technology/portrait/medium/199248-1724827920.jpg?lm=1
Leandro Paredes,AS Roma,8000000,https://img.a.transfermarkt.technology/portrait/medium/166237-1692881087.jpg?lm=1
Manu Koné,AS Roma,20000000,https://img.a.transfermarkt.technology/portrait/medium/624690-1691248968.jpg?lm=1
Enzo Le Fée,AS Roma,20000000,https://img.a.transfermarkt.technology/portrait/medium/633992-1725529188.jpg?lm=1
Niccolò Pisilli,AS Roma,7500000,https://img.a.transfermarkt.technology/portrait/medium/813137-1683527978.jpg?lm=1
Nicola Zalewski,AS Roma,12000000,https://img.a.transfermarkt.technology/portrait/medium/550108-1725530902.jpg?lm=1
Lorenzo Pellegrini,AS Roma,22000000,https://img.a.transfermarkt.technology/portrait/medium/286297-1692962972.jpg?lm=1
Tommaso Baldanzi,AS Roma,15000000,https://img.a.transfermarkt.technology/portrait/medium/641537-1661764089.jpg?lm=1
Stephan El Shaarawy,AS Roma,5000000,https://img.a.transfermarkt.technology/portrait/medium/94529-1730124909.jpg?lm=1
Matías Soulé,AS Roma,25000000,https://img.a.transfermarkt.technology/portrait/medium/668951-1725529266.jpg?lm=1
Alexis Saelemaekers,AS Roma,12000000,https://img.a.transfermarkt.technology/portrait/medium/381950-1609842664.jpg?lm=1
Paulo Dybala,AS Roma,12000000,https://img.a.transfermarkt.technology/portrait/medium/206050-1725530843.jpg?lm=1
Artem Dovbyk,AS Roma,35000000,https://img.a.transfermarkt.technology/portrait/medium/343537-1719215184.jpg?lm=1
Eldor Shomurodov,AS Roma,5000000,https://img.a.transfermarkt.technology/portrait/medium/358166-1661514115.jpg?lm=1
Lukasz Skorupski,Bologna FC 1909,3500000,https://img.a.transfermarkt.technology/portrait/medium/80894-1724827036.jpg?lm=1
Federico Ravaglia,Bologna FC 1909,1000000,https://img.a.transfermarkt.technology/portrait/medium/390304-1701253429.jpg?lm=1
Nicola Bagnolini,Bologna FC 1909,200000,https://img.a.transfermarkt.technology/portrait/medium/818892-1673251900.jpg?lm=1
Sam Beukema,Bologna FC 1909,18000000,https://img.a.transfermarkt.technology/portrait/medium/433984-1696837343.jpg?lm=1
Jhon Lucumí,Bologna FC 1909,17000000,https://img.a.transfermarkt.technology/portrait/medium/413565-1663657119.jpg?lm=1
Nicolò Casale,Bologna FC 1909,8000000,https://img.a.transfermarkt.technology/portrait/medium/389837-1695026993.jpg?lm=1
Martin Erlić,Bologna FC 1909,5000000,https://img.a.transfermarkt.technology/portrait/medium/357003-1692882873.jpg?lm=1
Juan Miranda,Bologna FC 1909,9000000,https://img.a.transfermarkt.technology/portrait/medium/341227-1689338510.jpg?lm=1
Tommaso Corazza,Bologna FC 1909,1000000,https://img.a.transfermarkt.technology/portrait/medium/818880-1692278831.jpg?lm=1
Charalampos Lykogiannis,Bologna FC 1909,1000000,https://img.a.transfermarkt.technology/portrait/medium/136514-1663656826.jpg?lm=1
Stefan Posch,Bologna FC 1909,14000000,https://img.a.transfermarkt.technology/portrait/medium/223974-1725531246.jpg?lm=1
Emil Holm,Bologna FC 1909,8500000,https://img.a.transfermarkt.technology/portrait/medium/496745-1688450376.jpg?lm=1
Lorenzo De Silvestri,Bologna FC 1909,400000,https://img.a.transfermarkt.technology/portrait/medium/33571-1595929290.jpg?lm=1
Nikola Moro,Bologna FC 1909,5000000,https://img.a.transfermarkt.technology/portrait/medium/316934-1692964241.jpg?lm=1
Oussama El Azzouzi,Bologna FC 1909,2500000,https://img.a.transfermarkt.technology/portrait/medium/531065-1707127581.jpg?lm=1
Michel Aebischer,Bologna FC 1909,11000000,https://img.a.transfermarkt.technology/portrait/medium/237658-1669289063.jpg?lm=1
Tommaso Pobega,Bologna FC 1909,10000000,https://img.a.transfermarkt.technology/portrait/medium/392538-1661767249.jpg?lm=1
Kacper Urbanski,Bologna FC 1909,7000000,https://img.a.transfermarkt.technology/portrait/medium/699442-1696837702.jpg?lm=1
Remo Freuler,Bologna FC 1909,6500000,https://img.a.transfermarkt.technology/portrait/medium/148252-1688044464.jpg?lm=1
Niklas Pyyhtiä,Bologna FC 1909,1200000,https://img.a.transfermarkt.technology/portrait/medium/679754-1623140437.jpg?lm=1
Lewis Ferguson,Bologna FC 1909,24000000,https://img.a.transfermarkt.technology/portrait/medium/428563-1663656344.jpg?lm=1
Giovanni Fabbian,Bologna FC 1909,14000000,https://img.a.transfermarkt.technology/portrait/medium/633668-1695027735.jpg?lm=1
Samuel Iling-Junior,Bologna FC 1909,13000000,https://img.a.transfermarkt.technology/portrait/medium/581672-1730183382.jpg?lm=1
Jesper Karlsson,Bologna FC 1909,8000000,https://img.a.transfermarkt.technology/portrait/medium/367992-1676466550.jpg?lm=1
Benja Domínguez,Bologna FC 1909,5500000,https://img.a.transfermarkt.technology/portrait/medium/961022-1699913374.jpg?lm=1
Dan Ndoye,Bologna FC 1909,22000000,https://img.a.transfermarkt.technology/portrait/medium/365108-1718218474.jpg?lm=1
Riccardo Orsolini,Bologna FC 1909,16000000,https://img.a.transfermarkt.technology/portrait/medium/368482-1724827463.jpg?lm=1
Nicolò Cambiaghi,Bologna FC 1909,7000000,https://img.a.transfermarkt.technology/portrait/medium/459151-1695031545.jpg?lm=1
Santiago Castro,Bologna FC 1909,18000000,https://img.a.transfermarkt.technology/portrait/medium/849520-1724827267.jpg?lm=1
Thijs Dallinga,Bologna FC 1909,15000000,https://img.a.transfermarkt.technology/portrait/medium/538964-1682946635.jpg?lm=1
Jens Odgaard,Bologna FC 1909,4500000,https://img.a.transfermarkt.technology/portrait/medium/345590-1706697621.jpg?lm=1
David de Gea,ACF Fiorentina,5000000,https://img.a.transfermarkt.technology/portrait/medium/59377-1667548362.jpg?lm=1
Pietro Terracciano,ACF Fiorentina,2500000,https://img.a.transfermarkt.technology/portrait/medium/96254-1595853091.jpg?lm=1
Oliver Christensen,ACF Fiorentina,1800000,https://img.a.transfermarkt.technology/portrait/medium/471936-1688647558.jpg?lm=1
Tommaso Martinelli,ACF Fiorentina,1000000,https://img.a.transfermarkt.technology/portrait/medium/934159-1676018484.jpg?lm=1
Lucas Martínez Quarta,ACF Fiorentina,13000000,https://img.a.transfermarkt.technology/portrait/medium/373373-1663591880.jpg?lm=1
Marin Pongračić,ACF Fiorentina,10000000,https://img.a.transfermarkt.technology/portrait/medium/282144-1657202331.jpg?lm=1
Luca Ranieri,ACF Fiorentina,8000000,https://img.a.transfermarkt.technology/portrait/medium/346561-1692962464.jpg?lm=1
Pietro Comuzzo,ACF Fiorentina,4000000,https://img.a.transfermarkt.technology/portrait/medium/746712-1730183199.jpg?lm=1
Matías Moreno,ACF Fiorentina,4000000,https://img.a.transfermarkt.technology/portrait/medium/1144700-1730183072.jpg?lm=1
Robin Gosens,ACF Fiorentina,8000000,https://img.a.transfermarkt.technology/portrait/medium/273132-1686641124.jpg?lm=1
Fabiano Parisi,ACF Fiorentina,7500000,https://img.a.transfermarkt.technology/portrait/medium/547985-1663677780.jpg?lm=1
Cristiano Biraghi,ACF Fiorentina,3500000,https://img.a.transfermarkt.technology/portrait/medium/124555-1724827712.jpg?lm=1
Michael Kayode,ACF Fiorentina,22000000,https://img.a.transfermarkt.technology/portrait/medium/823486-1725531169.jpg?lm=1
Dodô,ACF Fiorentina,17000000,https://img.a.transfermarkt.technology/portrait/medium/401529-1663591985.jpg?lm=1
Yacine Adli,ACF Fiorentina,12000000,https://img.a.transfermarkt.technology/portrait/medium/395236-1725531271.jpg?lm=1
Rolando Mandragora,ACF Fiorentina,8500000,https://img.a.transfermarkt.technology/portrait/medium/308279-1663591807.jpg?lm=1
Danilo Cataldi,ACF Fiorentina,4000000,https://img.a.transfermarkt.technology/portrait/medium/199733-1661513736.jpg?lm=1
Edoardo Bove,ACF Fiorentina,14000000,https://img.a.transfermarkt.technology/portrait/medium/562049-1725532201.jpg?lm=1
Amir Richardson,ACF Fiorentina,9000000,https://img.a.transfermarkt.technology/portrait/medium/893675-1725529481.jpg?lm=1
Andrea Colpani,ACF Fiorentina,16000000,https://img.a.transfermarkt.technology/portrait/medium/392959-1730183016.jpg?lm=1
Christian Kouamé,ACF Fiorentina,7500000,https://img.a.transfermarkt.technology/portrait/medium/337725-1663591953.jpg?lm=1
Riccardo Sottil,ACF Fiorentina,6000000,https://img.a.transfermarkt.technology/portrait/medium/386455-1663591627.jpg?lm=1
Jonathan Ikoné,ACF Fiorentina,10000000,https://img.a.transfermarkt.technology/portrait/medium/324690-1697179025.jpg?lm=1
Albert Gudmundsson,ACF Fiorentina,30000000,https://img.a.transfermarkt.technology/portrait/medium/305947-1705389252.jpg?lm=1
Lucas Beltrán,ACF Fiorentina,16000000,https://img.a.transfermarkt.technology/portrait/medium/628366-1692881138.jpg?lm=1
Moise Kean,ACF Fiorentina,18000000,https://img.a.transfermarkt.technology/portrait/medium/364135-1725532147.jpg?lm=1
Ivan Provedel,SS Lazio,14000000,https://img.a.transfermarkt.technology/portrait/medium/197929-1695160944.jpg?lm=1
Christos Mandas,SS Lazio,3000000,https://img.a.transfermarkt.technology/portrait/medium/481675-1724268727.jpg?lm=1
Alessio Furlanetto,SS Lazio,50000,https://img.a.transfermarkt.technology/portrait/medium/538079-1607962464.jpg?lm=1
Davide Renzetti,SS Lazio,50000,https://img.a.transfermarkt.technology/portrait/medium/918957-1726131865.jpg?lm=1
Mario Gila,SS Lazio,18000000,https://img.a.transfermarkt.technology/portrait/medium/618341-1730127774.jpg?lm=1
Alessio Romagnoli,SS Lazio,15000000,https://img.a.transfermarkt.technology/portrait/medium/197747-1730125586.jpg?lm=1
Samuel Gigot,SS Lazio,5000000,https://img.a.transfermarkt.technology/portrait/medium/276896-1703066101.jpg?lm=1
Patric,SS Lazio,4000000,https://img.a.transfermarkt.technology/portrait/medium/126729-1695026786.jpg?lm=1
Filipe Bordon,SS Lazio,500000,https://img.a.transfermarkt.technology/portrait/medium/1110645-1715640507.jpg?lm=1
Nuno Tavares,SS Lazio,15000000,https://img.a.transfermarkt.technology/portrait/medium/535955-1730127360.jpg?lm=1
Luca Pellegrini,SS Lazio,3500000,https://img.a.transfermarkt.technology/portrait/medium/346567-1663065246.jpg?lm=1
Adam Marusic,SS Lazio,5000000,https://img.a.transfermarkt.technology/portrait/medium/239802-1692962856.jpg?lm=1
Elseid Hysaj,SS Lazio,2500000,https://img.a.transfermarkt.technology/portrait/medium/200056-1661350737.jpg?lm=1
Nicolò Rovella,SS Lazio,18000000,https://img.a.transfermarkt.technology/portrait/medium/525704-1730127184.jpg?lm=1
