league,team,team_uri,stadium,stadium_uri
Bundesliga,FC Augsburg,http://www.wikidata.org/entity/Q15755,WWK Arena,http://www.wikidata.org/entity/Q167418
La Liga,RCD Mallorca,http://www.wikidata.org/entity/Q8835,Estadi Mallorca Son Moix,http://www.wikidata.org/entity/Q276163
La Liga,Real Sociedad,http://www.wikidata.org/entity/Q10315,Anoeta Stadium,http://www.wikidata.org/entity/Q917845
La Liga,Club Atlético Osasuna,http://www.wikidata.org/entity/Q10286,El Sadar Stadium,http://www.wikidata.org/entity/Q735783
La Liga,Cádiz Club de Fútbol,http://www.wikidata.org/entity/Q460448,Estadio Ramón de Carranza,http://www.wikidata.org/entity/Q2301915
La Liga,Rayo Vallecano,http://www.wikidata.org/entity/Q10300,Campo de Fútbol de Vallecas,http://www.wikidata.org/entity/Q983806
La Liga,Granada CF,http://www.wikidata.org/entity/Q8812,Estadio Nuevo Los Cármeness,http://www.wikidata.org/entity/Q574565
La Liga,AD Almería,http://www.wikidata.org/entity/Q290781,Estadio Municipal Juan Rojas,http://www.wikidata.org/entity/Q3773347
La Liga,Athletic Club,http://www.wikidata.org/entity/Q8687,San Mamés Stadium,http://www.wikidata.org/entity/Q182864
La Liga,Unión Deportiva Almería,http://www.wikidata.org/entity/Q10407,Estadio de los Juegos Mediterraneos,http://www.wikidata.org/entity/Q1130617
La Liga,Real Betis Balompié,http://www.wikidata.org/entity/Q8723,Estadio Benito Villamarín,http://www.wikidata.org/entity/Q126844
La Liga,Villarreal CF,http://www.wikidata.org/entity/Q12297,Estadio de la Cerámica,http://www.wikidata.org/entity/Q741157
La Liga,RC Celta de Vigo,http://www.wikidata.org/entity/Q8749,Abanca Balaídos Stadium,http://www.wikidata.org/entity/Q1326578
La Liga,Real Madrid CF,http://www.wikidata.org/entity/Q8682,Santiago Bernabéu Stadium,http://www.wikidata.org/entity/Q164027
La Liga,Sevilla FC,http://www.wikidata.org/entity/Q10329,Ramón Sánchez Pizjuán Stadium,http://www.wikidata.org/entity/Q275429
La Liga,Atlético de Madrid,http://www.wikidata.org/entity/Q8701,Metropolitano Stadium,http://www.wikidata.org/entity/Q1369687
La Liga,Unión Deportiva Las Palmas,http://www.wikidata.org/entity/Q11979,Gran Canaria Stadium,http://www.wikidata.org/entity/Q991419
La Liga,CD Leganés,http://www.wikidata.org/entity/Q856119,Estadio Municipal de Butarque,http://www.wikidata.org/entity/Q1369462
La Liga,Girona FC,http://www.wikidata.org/entity/Q11945,Montilivi Stadium,http://www.wikidata.org/entity/Q2097709
La Liga,Valencia CF,http://www.wikidata.org/entity/Q10333,Mestalla Stadium,http://www.wikidata.org/entity/Q202762
La Liga,Getafe CF,http://www.wikidata.org/entity/Q8806,Estadio Coliseum,http://www.wikidata.org/entity/Q929109
La Liga,RCD Espanyol de Barcelona,http://www.wikidata.org/entity/Q8780,RCDE Stadium,http://www.wikidata.org/entity/Q473223
La Liga,RCD Espanyol de Barcelona,http://www.wikidata.org/entity/Q8780,Estadi de Sarrià,http://www.wikidata.org/entity/Q1325234
La Liga,Deportivo Alavés,http://www.wikidata.org/entity/Q223620,Mendizorrotza Stadium,http://www.wikidata.org/entity/Q1369390
Serie A,Bologna F.C. 1909,http://www.wikidata.org/entity/Q1893,Stadio Renato Dall'Ara,http://www.wikidata.org/entity/Q757182
Serie A,Empoli FC,http://www.wikidata.org/entity/Q6703,Stadio Carlo Castellani,http://www.wikidata.org/entity/Q94633
Serie A,U.S. Fiumana,http://www.wikidata.org/entity/Q1328077,Stadion Kantrida,http://www.wikidata.org/entity/Q1277056
Serie A,Atalanta BC,http://www.wikidata.org/entity/Q1886,Stadio Atleti Azzurri d'Italia,http://www.wikidata.org/entity/Q780526
Serie A,Torino FC,http://www.wikidata.org/entity/Q2768,Stadio Olimpico Grande Torino,http://www.wikidata.org/entity/Q214629
Serie A,ACF Fiorentina,http://www.wikidata.org/entity/Q2052,Stadio Artemio Franchi,http://www.wikidata.org/entity/Q270474
Serie A,Como 1907,http://www.wikidata.org/entity/Q1120838,Stadio Giuseppe Sinigaglia,http://www.wikidata.org/entity/Q115372
Serie A,US Lecce,http://www.wikidata.org/entity/Q13391,Stadio Via del Mare,http://www.wikidata.org/entity/Q684727
Serie A,AC Milan,http://www.wikidata.org/entity/Q1543,Giuseppe Meazza Stadium,http://www.wikidata.org/entity/Q133566
Serie A,Cagliari Calcio,http://www.wikidata.org/entity/Q1900,Unipol Domus,http://www.wikidata.org/entity/Q30880646
Serie A,U.S. Salernitana 1919,http://www.wikidata.org/entity/Q847587,Stadio Arechi,http://www.wikidata.org/entity/Q2300150
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Stadio Marcantonio Bentegodi,http://www.wikidata.org/entity/Q737093
Serie A,Genoa CFC,http://www.wikidata.org/entity/Q2074,Stadio Luigi Ferraris,http://www.wikidata.org/entity/Q271568
Serie A,SSC Napoli,http://www.wikidata.org/entity/Q2641,Stadio Diego Armando Maradona,http://www.wikidata.org/entity/Q82709
Serie A,AC Monza,http://www.wikidata.org/entity/Q289482,Stadio Brianteo,http://www.wikidata.org/entity/Q1851616
Serie A,Inter Milan,http://www.wikidata.org/entity/Q631,Giuseppe Meazza Stadium,http://www.wikidata.org/entity/Q133566
Serie A,Juventus FC,http://www.wikidata.org/entity/Q1422,Juventus Stadium,http://www.wikidata.org/entity/Q62149
Serie A,Parma Calcio 1913,http://www.wikidata.org/entity/Q2693,Stadio Ennio Tardini,http://www.wikidata.org/entity/Q610546
Serie A,SS Lazio,http://www.wikidata.org/entity/Q2609,Stadio Olimpico,http://www.wikidata.org/entity/Q159884
Serie A,FC Torinese,http://www.wikidata.org/entity/Q534448,Velodrome Humbert I,http://www.wikidata.org/entity/Q289288
Serie A,Venezia F.C.,http://www.wikidata.org/entity/Q501245,Stadio Pierluigi Penzo,http://www.wikidata.org/entity/Q588926
Serie A,Udinese Calcio,http://www.wikidata.org/entity/Q2798,Stadio Friuli,http://www.wikidata.org/entity/Q640031
Serie A,A.S. Roma,http://www.wikidata.org/entity/Q2739,Stadio Olimpico,http://www.wikidata.org/entity/Q159884
