name,uri
Djibouti,http://www.wikidata.org/entity/Q977
Eritrea,http://www.wikidata.org/entity/Q986
Gabon,http://www.wikidata.org/entity/Q1000
The Gambia,http://www.wikidata.org/entity/Q1005
Guinea,http://www.wikidata.org/entity/Q1006
Guinea-Bissau,http://www.wikidata.org/entity/Q1007
Ivory Coast,http://www.wikidata.org/entity/Q1008
Cameroon,http://www.wikidata.org/entity/Q1009
Cape Verde Islands,http://www.wikidata.org/entity/Q1011
Lesotho,http://www.wikidata.org/entity/Q1013
Liberia,http://www.wikidata.org/entity/Q1014
Libya,http://www.wikidata.org/entity/Q1016
Madagascar,http://www.wikidata.org/entity/Q1019
Malawi,http://www.wikidata.org/entity/Q1020
Mauritania,http://www.wikidata.org/entity/Q1025
Mauritius,http://www.wikidata.org/entity/Q1027
Morocco,http://www.wikidata.org/entity/Q1028
Mozambique,http://www.wikidata.org/entity/Q1029
Namibia,http://www.wikidata.org/entity/Q1030
Niger,http://www.wikidata.org/entity/Q1032
Nigeria,http://www.wikidata.org/entity/Q1033
Uganda,http://www.wikidata.org/entity/Q1036
Rwanda,http://www.wikidata.org/entity/Q1037
São Tomé and Príncipe,http://www.wikidata.org/entity/Q1039
Senegal,http://www.wikidata.org/entity/Q1041
Seychelles,http://www.wikidata.org/entity/Q1042
Sierra Leone,http://www.wikidata.org/entity/Q1044
Somalia,http://www.wikidata.org/entity/Q1045
Sudan,http://www.wikidata.org/entity/Q1049
Kosovo,http://www.wikidata.org/entity/Q1246
Aruba,http://www.wikidata.org/entity/Q21203
Northern Cyprus,http://www.wikidata.org/entity/Q23681
Sint Maarten,http://www.wikidata.org/entity/Q26273
Cook Islands,http://www.wikidata.org/entity/Q26988
China,http://www.wikidata.org/entity/Q29520
Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999
Niue,http://www.wikidata.org/entity/Q34020
Tarshish,http://www.wikidata.org/entity/Q44826
State of Palestine,http://www.wikidata.org/entity/Q219060
Kingdom of Denmark,http://www.wikidata.org/entity/Q756617
Bharatpur State,http://www.wikidata.org/entity/Q854850
Chaumontois,http://www.wikidata.org/entity/Q2961631
Mallabhum,http://www.wikidata.org/entity/Q6744020
Republic of Cuba,http://www.wikidata.org/entity/Q14905932
Pays Catalan,http://www.wikidata.org/entity/Q19716180
Chinland,http://www.wikidata.org/entity/Q124153644
Ashkenaz,http://www.wikidata.org/entity/Q124535978
Havilah,http://www.wikidata.org/entity/Q124536190
Persia,http://www.wikidata.org/entity/Q125422413
Kerajaan Patipi,http://www.wikidata.org/entity/Q126362486
Wales,http://www.wikidata.org/entity/Q25
Peru,http://www.wikidata.org/entity/Q419
Austria,http://www.wikidata.org/entity/Q40
Gambia,http://www.wikidata.org/entity/Q1005
Scotland,http://www.wikidata.org/entity/Q22
Serbia,http://www.wikidata.org/entity/Q403
Georgia,http://www.wikidata.org/entity/Q230
Ukraine,http://www.wikidata.org/entity/Q212
Guadeloupe,http://www.wikidata.org/entity/Q17012
Curaçao,http://www.wikidata.org/entity/Q25279
Equatorial Guinea,http://www.wikidata.org/entity/Q983
Suriname,http://www.wikidata.org/entity/Q730
